"id","price","grams","district","gender","dish_type","month","season","youandme"
"274",2,NA,"Kracheh","male","sliced_fish","March","dry","others"
"274",1.5,NA,"Kracheh","male","pufferfish","March","dry","self"
"274",1.5,NA,"Kracheh","male","pufferfish","March","dry","others"
"277",1,NA,"Kracheh","male","chopped_fish","March","dry","self"
"277",1,NA,"Kracheh","male","chopped_fish","March","dry","others"
"277",1,NA,"Kracheh","male","sliced_fish","March","dry","self"
"277",1,NA,"Kracheh","male","sliced_fish","March","dry","others"
"278",2,NA,"Kracheh","male","chopped_fish","March","dry","self"
"278",5,NA,"Kracheh","male","chopped_fish","March","dry","others"
"278",2,NA,"Kracheh","male","sliced_fish","March","dry","self"
"278",5,NA,"Kracheh","male","sliced_fish","March","dry","others"
"278",1,NA,"Kracheh","male","pufferfish","March","dry","self"
"278",5,NA,"Kracheh","male","pufferfish","March","dry","others"
"279",1,NA,"Kracheh","male","chopped_fish","March","dry","self"
"279",1,NA,"Kracheh","male","chopped_fish","March","dry","others"
"279",1,NA,"Kracheh","male","pufferfish","March","dry","self"
"279",6,NA,"Kracheh","male","pufferfish","March","dry","others"
"280",1.5,NA,"Kracheh","male","chopped_fish","March","dry","self"
"280",5,NA,"Kracheh","male","chopped_fish","March","dry","others"
"280",2.5,NA,"Kracheh","male","sliced_fish","March","dry","self"
"280",10,NA,"Kracheh","male","sliced_fish","March","dry","others"
"280",1,NA,"Kracheh","male","pufferfish","March","dry","self"
"280",1,NA,"Kracheh","male","pufferfish","March","dry","others"
"281",1,NA,"Kracheh","male","chopped_fish","March","dry","self"
"281",3,NA,"Kracheh","male","chopped_fish","March","dry","others"
"281",1,NA,"Kracheh","male","pufferfish","March","dry","self"
"281",2,NA,"Kracheh","male","pufferfish","March","dry","others"
"282",1,NA,"Kracheh","male","chopped_fish","March","dry","self"
"282",2,NA,"Kracheh","male","chopped_fish","March","dry","others"
"282",2,NA,"Kracheh","male","sliced_fish","March","dry","self"
"282",5,NA,"Kracheh","male","sliced_fish","March","dry","others"
"282",5,NA,"Kracheh","male","pufferfish","March","dry","self"
"282",10,NA,"Kracheh","male","pufferfish","March","dry","others"
"283",1,NA,"Kracheh","male","chopped_fish","March","dry","self"
"283",5,NA,"Kracheh","male","chopped_fish","March","dry","others"
